('Total Revenue', '254,190,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         849098 function calls (822706 primitive calls) in 1.531 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
      536    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        2    0.000    0.000    0.002    0.001 request.py:1(<module>)
       53    0.000    0.000    0.000    0.000 _compiler.py:410(_generate_overlap_table)
       51    0.000    0.000    0.001    0.000 typing.py:1023(__init__)
      231    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
       66    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
        1    0.000    0.000    0.013    0.013 url.py:1(<module>)
    25/23    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1318(create_module)
      108    0.000    0.000    0.000    0.000 enum.py:199(__get__)
        8    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
       21    0.000    0.000    0.000    0.000 ipaddress.py:1512(__init__)
       33    0.000    0.000    0.000    0.000 response.py:1133(_update_chunk_length)
      514    0.000    0.000    0.000    0.000 ssl.py:1117(_checkClosed)
       42    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      487    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
      230    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       16    0.000    0.000    0.000    0.000 typing.py:1634(__getitem__)
       32    0.000    0.000    0.002    0.000 response.py:469(_decode)
      191    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       60    0.000    0.000    0.000    0.000 enum.py:760(__delattr__)
        2    0.000    0.000    0.002    0.001 connection.py:1(<module>)
      186    0.000    0.000    0.000    0.000 <frozen os>:734(__iter__)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        2    0.000    0.000    0.018    0.009 exceptions.py:1(<module>)
        2    0.000    0.000    0.005    0.003 models.py:1(<module>)
      258    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 typing.py:3138(__new__)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1716(path_hook_for_FileFinder)
       10    0.000    0.000    0.000    0.000 __init__.py:1361(getLogger)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       16    0.000    0.000    0.001    0.000 _functools.py:75(wrapper)
