('Total Revenue', '254,190,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         1038380 function calls (1006079 primitive calls) in 2.498 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       92    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
       84    0.000    0.000    0.000    0.000 css_parser.py:798(parse_combinator)
        2    0.000    0.000    0.000    0.000 interfaces.py:1(<module>)
     23/8    0.000    0.000    0.001    0.000 inspect.py:2477(_signature_from_callable)
      418    0.000    0.000    0.001    0.000 typing.py:164(_type_convert)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
       66    0.000    0.000    0.000    0.000 typing.py:379(_remove_dups_flatten)
        6    0.000    0.000    0.001    0.000 __init__.py:775(__init__)
        4    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
    94/56    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      279    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      466    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
      330    0.000    0.000    0.000    0.000 enum.py:1152(__new__)
       32    0.000    0.000    0.000    0.000 inspect.py:176(get_annotations)
       92    0.000    0.000    0.000    0.000 enum.py:1592(__or__)
      679    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      489    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       69    0.000    0.000    0.000    0.000 css_parser.py:532(parse_tag_pattern)
      328    0.000    0.000    0.000    0.000 _receivebuffer.py:57(__bool__)
      209    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
      285    0.000    0.000    0.003    0.000 _decoders.py:95(decode)
      280    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
        8    0.000    0.000    0.000    0.000 inspect.py:2373(_signature_from_function)
       58    0.000    0.000    0.001    0.000 typing.py:1634(__getitem__)
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
       15    0.000    0.000    0.000    0.000 {built-in method _io.open}
      570    0.000    0.000    0.000    0.000 <string>:5(__eq__)
      440    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      122    0.000    0.000    0.001    0.000 _lxml.py:353(comment)
        1    0.000    0.000    0.000    0.000 _synchronization.py:434(SemaphoreAdapter)
      439    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      288    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      224    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
      571    0.000    0.000    0.000    0.000 _decoders.py:237(decode)
      442    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      291    0.000    0.000    0.000    0.000 _state.py:301(_fire_event_triggered_transitions)
        1    0.000    0.000    0.002    0.002 _urlparse.py:1(<module>)
       73    0.000    0.000    0.000    0.000 typing.py:3790(__getattr__)
      441    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      658    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      224    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      283    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
