('Total Revenue', '254,190,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         849322 function calls (822918 primitive calls) in 1.870 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    89/87    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       89    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       87    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
       87    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
    85/46    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
    85/46    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
    84/42    0.000    0.000    0.098    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       84    0.000    0.000    0.000    0.000 css_parser.py:798(parse_combinator)
       84    0.000    0.000    0.000    0.000 typing.py:789(<genexpr>)
       77    0.000    0.000    0.003    0.000 css_parser.py:462(parse_attribute_selector)
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
    76/70    0.000    0.000    0.002    0.000 typing.py:426(inner)
       76    0.000    0.000    0.000    0.000 _parser.py:303(checkgroupname)
       76    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
       75    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       69    0.000    0.000    0.000    0.000 status_codes.py:122(<genexpr>)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       69    0.000    0.000    0.000    0.000 css_parser.py:532(parse_tag_pattern)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
       67    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       66    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
       66    0.000    0.000    0.001    0.000 _lxml.py:353(comment)
       64    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
       62    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       62    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       60    0.000    0.000    0.000    0.000 enum.py:760(__delattr__)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       56    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       55    0.000    0.000    0.000    0.000 enum.py:353(__setitem__)
       54    0.000    0.000    0.000    0.000 __init__.py:305(escape)
       54    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       53    0.000    0.000    0.000    0.000 element.py:1624(__eq__)
       53    0.000    0.000    0.000    0.000 _compiler.py:410(_generate_overlap_table)
       53    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
       53    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
    52/14    0.001    0.000    0.011    0.001 css_parser.py:911(parse_selectors)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1930(__init__)
       52    0.000    0.000    0.000    0.000 functools.py:541(decorating_function)
       51    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
       51    0.000    0.000    0.000    0.000 message.py:511(set_raw)
       51    0.000    0.000    0.000    0.000 typing.py:1023(__init__)
       51    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       50    0.000    0.000    0.000    0.000 typing.py:260(_collect_type_parameters)
       49    0.000    0.000    0.344    0.007 client.py:633(_safe_read)
       49    0.000    0.000    0.000    0.000 typing.py:1307(__init__)
       49    0.000    0.000    0.000    0.000 <frozen _collections_abc>:850(__init__)
       47    0.000    0.000    0.000    0.000 ipaddress.py:1765(_parse_hextet)
       47    0.000    0.000    0.001    0.000 typing.py:1423(__init__)
